,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
18,la,smoothed_anxious_5d,2021-01-02,2021-01-07,5,17.1594934,0.5827263,4186.1813,state,fb-survey
19,ma,smoothed_anxious_5d,2021-01-02,2021-01-07,5,19.1322188,0.5229699,5657.016,state,fb-survey
20,md,smoothed_anxious_5d,2021-01-02,2021-01-07,5,14.7734524,0.5175826,4699.9973,state,fb-survey
21,me,smoothed_anxious_5d,2021-01-02,2021-01-07,5,19.4172494,0.8542845,2144.0,state,fb-survey
22,mi,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.2975931,0.3415015,11697.0464,state,fb-survey
23,mn,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.3496359,0.5347067,4783.4876,state,fb-survey
24,mo,smoothed_anxious_5d,2021-01-02,2021-01-07,5,17.6545682,0.5188662,5399.9007,state,fb-survey
25,ms,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.2723911,0.7041866,2747.5432,state,fb-survey
26,mt,smoothed_anxious_5d,2021-01-02,2021-01-07,5,17.5420692,1.017098,1398.2591,state,fb-survey
27,nc,smoothed_anxious_5d,2021-01-02,2021-01-07,5,15.1516416,0.3469328,10681.0128,state,fb-survey
28,nd,smoothed_anxious_5d,2021-01-02,2021-01-07,5,15.0026425,1.3173098,734.8477,state,fb-survey
29,ne,smoothed_anxious_5d,2021-01-02,2021-01-07,5,14.3461565,0.7833306,2002.591,state,fb-survey
30,nh,smoothed_anxious_5d,2021-01-02,2021-01-07,5,17.5689223,0.8522274,1994.0,state,fb-survey
31,nj,smoothed_anxious_5d,2021-01-02,2021-01-07,5,15.4158986,0.4473749,6514.9977,state,fb-survey
32,nm,smoothed_anxious_5d,2021-01-02,2021-01-07,5,18.9068277,0.7581424,2667.4815,state,fb-survey
33,nv,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.7506966,0.7910607,2228.4034,state,fb-survey
34,ny,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.9200783,0.3102936,14600.0022,state,fb-survey
35,oh,smoothed_anxious_5d,2021-01-02,2021-01-07,5,18.2107444,0.3464105,12412.006,state,fb-survey
36,ok,smoothed_anxious_5d,2021-01-02,2021-01-07,5,18.8793178,0.5817608,4525.109,state,fb-survey
37,or,smoothed_anxious_5d,2021-01-02,2021-01-07,5,18.483939,0.5709595,4621.9697,state,fb-survey
38,pa,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.4887993,0.3205757,13399.0066,state,fb-survey
39,ri,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.8648002,1.0918987,1175.984,state,fb-survey
40,sc,smoothed_anxious_5d,2021-01-02,2021-01-07,5,13.8629552,0.4462269,5997.0025,state,fb-survey
41,sd,smoothed_anxious_5d,2021-01-02,2021-01-07,5,14.1890543,1.0701393,1063.2013,state,fb-survey
42,tn,smoothed_anxious_5d,2021-01-02,2021-01-07,5,18.2914235,0.464758,6919.287,state,fb-survey
43,tx,smoothed_anxious_5d,2021-01-02,2021-01-07,5,16.111574,0.2571014,20447.0648,state,fb-survey
44,ut,smoothed_anxious_5d,2021-01-02,2021-01-07,5,18.3520349,0.7068206,2999.2395,state,fb-survey
45,va,smoothed_anxious_5d,2021-01-02,2021-01-07,5,15.8929472,0.3960223,8523.0993,state,fb-survey
46,vt,smoothed_anxious_5d,2021-01-02,2021-01-07,5,18.6105708,1.2400674,985.002,state,fb-survey
47,wa,smoothed_anxious_5d,2021-01-02,2021-01-07,5,17.5620707,0.4339317,7688.825,state,fb-survey
48,wi,smoothed_anxious_5d,2021-01-02,2021-01-07,5,15.2454061,0.4733041,5767.9529,state,fb-survey
49,wv,smoothed_anxious_5d,2021-01-02,2021-01-07,5,19.271732,0.7657582,2653.1574,state,fb-survey
50,wy,smoothed_anxious_5d,2021-01-02,2021-01-07,5,14.8365304,1.2804335,770.6757,state,fb-survey
0,ak,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.8478261,1.3015354,827.0,state,fb-survey
1,al,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.1896263,0.5553092,4400.1232,state,fb-survey
2,ar,smoothed_anxious_5d,2021-01-03,2021-01-08,5,18.1292722,0.675155,3256.1324,state,fb-survey
3,az,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.6901211,0.4758515,6140.6325,state,fb-survey
4,ca,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.6069312,0.2241289,27569.1715,state,fb-survey
5,co,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.8349837,0.4980342,5644.6247,state,fb-survey
6,ct,smoothed_anxious_5d,2021-01-03,2021-01-08,5,16.0087216,0.5555862,4356.0,state,fb-survey
7,dc,smoothed_anxious_5d,2021-01-03,2021-01-08,5,15.8088235,1.808364,407.0,state,fb-survey
8,de,smoothed_anxious_5d,2021-01-03,2021-01-08,5,13.8602941,0.9372991,1359.0,state,fb-survey
